Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01745,SPC_110222_5,11/2/2022,2022,Fall,2023,Fall,Dayton,0.365,0.515,0.0175,0.0031,1.257,0.407,30,13.7,8.7,11.03,106.6,749,1.43,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01746,SPC_110222_6,11/2/2022,2022,Fall,2023,Fall,Dayton,0.382,0.412,0.0182,0.0071,1.531,0.432,30,14.1,8.77,12.23,119.1,753,1.25,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01759,SPC_120722_2,12/7/2022,2022,Fall,2023,Fall,Dayton,0.0015,1.066,0.0092,0.0064,0.913,0.005,40,6.9,8.23,19.29,158.7,196,3.7,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01761,SPC_120722_4,12/7/2022,2022,Fall,2023,Fall,Dayton,0.0015,0.954,0.0145,0.0151,3.009,0.135,20,7.9,7.89,14.64,123.6,525,12.8,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W10762,SPC_120722_5,12/7/2022,2022,Fall,2023,Fall,Dayton,0.378,1.373,0.0086,0.005,1.565,0.417,38,6.3,8.05,12.7,103,787,1.4,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01763,SPC_120722_6,12/7/2022,2022,Fall,2023,Fall,Dayton,0.388,1.275,0.0086,0.0027,1.408,0.398,35,6.3,8.19,13.84,112.3,787,1.3,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02127,010523_SPC_1,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,5.488,0.026063292,0.0066,6.956,0.026,25,6.6,8.2,11.34,92.9,597,4.63,,Yes,1/24/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02133,010523_SPC_2,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,2.214,-0.012145983,0.0338,3.276,0.005,45,8.4,7.76,9.23,79.2,615,1.36,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02135,010523_SPC_4,1/5/2023,2023,Winter,2023,Winter,Lake ,0.0015,2.017,0.020191091,0.0685,2.943,0.034,30,8.1,7.61,10.11,86.1,625,12.41,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02136,010523_SPC_5,1/5/2023,2023,Winter,2023,Winter,Lake ,0.114,6.137,0.026695008,0.0795,7.787,0.263,90,7.2,8.04,10.7,89.3,638,35.7,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02137,010523_SPC_6,1/5/2023,2023,Winter,2023,Winter,Lake ,0.138,6.284,0.064230499,0.0918,8.42,0.297,60,7.4,8.15,10.95,91.3,637,46.7,,Yes,1/23/2023,2/1/23 (TN) 2/3/23 (TP),,10/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01789,SPC_020923_1,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,3.611,0.0046,0.005,3.611,0.005,11,8.6,8.33,13.21,113.4,579,2.28,Did not overflow into wetland; may not have been peak flow yet,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01790,SPC_020923_2,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,3.894,0.003,0.005,4.143,0.005,70,8.3,8.54,13.31,113.3,541,2.1,Water level up,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01791,SPC_020923_4,2/9/2023,2023,Winter,2023,Winter,Dayton,0.0015,0.759,0.0041,0.005,1.309,0.022,40,9.4,8.33,14.98,131.2,517,6.78,Water level up,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01792,SPC_020923_5,2/9/2023,2023,Winter,2023,Winter,Dayton,0.108,2.887,0.0825,0.0427,3.486,0.208,40,7.6,8.38,12.19,102.2,692,3.84,Did not overflow into wetland; was not at peak flow yet (rising limb sampling),Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01793,SPC_020923_6,2/9/2023,2023,Winter,2023,Winter,Dayton,0.081,2.943,0.0925,0.0441,3.326,0.267,38,7.7,8.32,12.41,104.2,709,4.4,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W01794,SPC_020923_7,2/9/2023,2023,Winter,2023,Winter,Dayton,0.144,2.93,0.0984,0.0482,3.399,0.27,45,8,8.3,12.51,105.9,705,4.1,*New site added Jan 2023,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,2/20/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02159,021323_SPC_1,2/13/2023,2023,Winter,2023,Winter,Lake,0.0015,5.267,0.316151997,0.038,4.922,0.005,63,4.2,8.51,14.87,114.3,626,0.76,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,6/26/2024,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02162,021323_SPC_2,2/13/2023,2023,Winter,2023,Winter,Lake,0.0015,4.028,0.039710312,0.006,4.336,0.005,71,7.3,8.2,13.5,112.1,597,25.7,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W02163,021323_SPC_3,2/13/2023,2023,Winter,2023,Winter,Lake,0.0015,1.956,0.228005946,0.0136,2.543,0.011,44,6.7,8.46,20.13,164.7,561,2.2,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02164,021323_SPC_4,2/13/2023,2023,Winter,2023,Winter,Lake,0.095,0.914,0.262393131,0.0158,1.571,0.005,63,8.1,8.21,19.16,162.3,600,10.6,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02166,021323_SPC_5,2/13/2023,2023,Winter,2023,Winter,Lake,0.067,5.15,0.177510711,0.0766,5.15,0.134,48,4.4,8.35,13.19,101.9,646,13.8,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02165,021323_SPC_6,2/13/2023,2023,Winter,2023,Winter,Lake,0.112,4.844,0.928869536,0.1732,5.577,0.197,50,4.3,8.35,13.13,101.1,653,18.5,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W02167,021323_SPC_7,2/13/2023,2023,Winter,2023,Winter,Lake,0.11,4.904,0.49066521,0.1205,6.166,0.218,50,5,8.34,13.14,103,657,27.6,,Yes,3/28/23 (NOx) 3/29/23 (SRP),4/5/2023,,10/13/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01811,SPC_030223_1,3/2/2023,2023,Winter,2023,Winter,Dayton,0.0015,7.233,0.0086,0.01,7.41,0.023,15,8.5,8.19,12.19,104.5,573,6.3,GMR Flow at USGS 03262700 Troy OH 12:00pm was 1580 cfs and height was 3.93 ft,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01812,SPC_030223_2,3/2/2023,2023,Winter,2023,Winter,Dayton,0.0015,3.539,0.007,0.0037,3.655,0.005,62,10.7,7.9,13.41,120.8,551,3.5,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01813,SPC_030223_4,3/2/2023,2023,Winter,2023,Winter,Dayton,0.0015,1.073,0.0062,0.0016,1.4,0.017,40,11.6,7.9,12.64,116.6,552,10.6,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01814,SPC_030223_5,3/2/2023,2023,Winter,2023,Winter,Dayton,0.072,5.395,0.0209,0.041,7.154,0.232,60,8.3,8.01,11.06,94.2,531,67.7,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01815,SPC_030223_6,3/2/2023,2023,Winter,2023,Winter,Dayton,0.081,5.475,0.0233,0.0447,6.491,0.259,80,8.3,8.07,10.95,93.4,521,81.5,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W01816,SPC_030223_7,3/2/2023,2023,Winter,2023,Winter,Dayton,0.084,4.725,0.0198,0.0446,6.59,0.258,45,8.5,8.11,10.96,93.8,520,83.9,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01839,SPC_041123_1,4/12/2023,2023,Spring,2023,Spring,Dayton,0.0015,4.858,0.0104,0.0038,4.858,0.005,10,14.1,8.66,14.09,135.6,563,2.4,"GMR Flow at USGS 03262700 Troy, OH 1:00pm was 785 cfs and height was 3.08 ft; peaked Apr 7 at 4940 cfs, 6.25 ft",Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01840,SPC_041123_2,4/12/2023,2023,Spring,2023,Spring,Dayton,0.0015,3.858,0.0053,0.0021,3.818,0.005,78,12.3,7.96,11.49,107.6,529,7.1,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01841,SPC_041123_4,4/12/2023,2023,Spring,2023,Spring,Dayton,0.0015,2.373,0.0098,0.0053,2.997,0.053,30,18.8,9.04,21.28,227.8,329.3,20.2,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01842,SPC_041123_5,4/12/2023,2023,Spring,2023,Spring,Dayton,0.059,4.001,0.0687,0.0096,4.315,0.131,50,14.2,8.39,10.84,105.8,593,11.7,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01843,SPC_041123_6,4/12/2023,2023,Spring,2023,Spring,Dayton,0.083,3.724,0.0679,0.0104,4.027,0.174,50,15,8.49,10.48,104.1,601,14.3,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W01844,SPC_041123_7,4/12/2023,2023,Spring,2023,Spring,Dayton,0.083,4.066,0.1051,0.0103,4.155,0.187,35,15.3,8.4,10.59,105.9,601,14,,Yes,5/22/2023,5/31/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W02273,052423_SPC_1,5/24/2023,2023,Spring,2023,Spring,Lake,0.0015,6.121,0.24073364,0.021325658,7.782,0.021,26,17.3,8.21,9.4,98,621,2.5,creek flowing towards GMR,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W02275,052423_SPC_2,5/24/2023,2023,Spring,2023,Spring,Lake,0.0015,3.295,0.073724444,0.009415015,3.793,0.025,30,18.9,8.23,16.78,180.9,543,4.9,algae growth on water surface,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W02293,052423_SPC_3,5/24/2023,2023,Spring,2023,Spring,Lake,0.0015,3.09,0.078434064,0.030535727,3.828,0.043,25,20.1,7.96,11.53,127.2,551,18.9,algae growth on water surface,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W02282,052423_SPC_4,5/24/2023,2023,Spring,2023,Spring,Lake,0.0015,0.68,0.098644764,0.013492803,1.872,0.077,22,24,8.58,15.02,179.2,413.2,24.1,algae growth on water surface,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W02287,052423_SPC_5,5/24/2023,2023,Spring,2023,Spring,Lake,0.155,5.945,0.201149858,0.016564678,7.392,0.201,60,19.1,8.07,8.13,87.8,599,9.5,,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W02283,052423_SPC_6,5/24/2023,2023,Spring,2023,Spring,Lake,0.189,5.64,0.278641251,0.027955171,7.917,0.25,40,20.1,8.17,9,99.3,592,10.9,,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Downstream at Barbie Memorial Park),7,W02292,052423_SPC_7,5/24/2023,2023,Spring,2023,Spring,Lake,0.189,5.728,0.447098771,0.050696002,7.924,0.245,33,19.9,8.13,8,87.9,585,13.7,,,5/24/2023,6/2/2023,4/12/2024,10/25/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01894,SPC_060723_1,6/7/2023,2023,Spring,2023,Spring,Dayton,0.0015,1.84,0.015502014,0.009610203,2.377,0.044,4,17.5,8.42,9.73,102,588,1.2,creek flowing towards GMR,,7/14/2023,7/17/2023,8/10/2023,9/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01895,SPC_060723_2,6/7/2023,2023,Spring,2023,Spring,Dayton,0.0015,1.318,0.016421807,0.032060155,3.405,0.029,75,20.3,8.26,11.96,132.5,529,8.3,algae growth on water surface,,7/14/2023,7/17/2023,8/10/2023,9/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01896,SPC_060723_4,6/7/2023,2023,Spring,2023,Spring,Dayton,0.0015,0.03,0.0097245,0.0005,0.925,0.136,38,21.7,8.41,9.78,111.3,446.9,28.8,algae growth on water surface,,7/14/2023,7/17/2023,8/10/2023,9/29/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
